date,pm25,pm25_count,scope,source
2019-04-21,47.2534,8,citywide,MERRA-2_GEE
2019-04-22,50.9062,8,citywide,MERRA-2_GEE
2019-04-23,51.1038,8,citywide,MERRA-2_GEE
2019-04-24,47.0798,8,citywide,MERRA-2_GEE
2019-04-25,75.9622,8,citywide,MERRA-2_GEE
2019-04-26,109.6397,8,citywide,MERRA-2_GEE
2019-04-27,85.3573,8,citywide,MERRA-2_GEE
2019-04-28,87.4716,8,citywide,MERRA-2_GEE
2019-04-29,107.384,8,citywide,MERRA-2_GEE
2019-04-30,111.1289,8,citywide,MERRA-2_GEE
2019-05-01,80.1794,8,citywide,MERRA-2_GEE
2019-05-02,68.127,8,citywide,MERRA-2_GEE
2019-05-03,55.8606,8,citywide,MERRA-2_GEE
2019-05-04,53.1413,8,citywide,MERRA-2_GEE
2019-05-05,49.5845,8,citywide,MERRA-2_GEE
2019-05-06,67.16,8,citywide,MERRA-2_GEE
2019-05-07,69.4455,8,citywide,MERRA-2_GEE
2019-05-08,61.7866,8,citywide,MERRA-2_GEE
2019-05-09,71.766,8,citywide,MERRA-2_GEE
2019-05-10,70.6988,8,citywide,MERRA-2_GEE
2019-05-11,77.2123,8,citywide,MERRA-2_GEE
2019-05-12,68.9679,8,citywide,MERRA-2_GEE
2019-05-13,75.8584,8,citywide,MERRA-2_GEE
2019-05-14,88.9243,8,citywide,MERRA-2_GEE
2019-05-15,58.6391,8,citywide,MERRA-2_GEE
2019-05-16,68.9317,8,citywide,MERRA-2_GEE
2019-05-17,67.5562,8,citywide,MERRA-2_GEE
2019-05-18,65.6321,8,citywide,MERRA-2_GEE
2019-05-19,65.3438,8,citywide,MERRA-2_GEE
2019-05-20,96.3491,8,citywide,MERRA-2_GEE
2019-05-21,79.1917,8,citywide,MERRA-2_GEE
2019-05-22,99.353,8,citywide,MERRA-2_GEE
2019-05-23,100.4163,8,citywide,MERRA-2_GEE
2019-05-24,92.045,8,citywide,MERRA-2_GEE
2019-05-25,60.2307,8,citywide,MERRA-2_GEE
2019-05-26,78.4209,8,citywide,MERRA-2_GEE
