date,station,Optical_Depth_055,wind_speed,month,month_sin,day_of_week,month_cos,is_weekend,viirs_ntl,pm25
2019-01-01,Federal_B_Area,0.3793103448275862,2.26439744906341,1,0.4999999999999999,1,0.8660254037844387,0,59.04999923706055,45.0565
2019-01-02,Federal_B_Area,0.2157776611694152,2.226080820439316,1,0.4999999999999999,2,0.8660254037844387,0,59.04999923706055,64.0866
2019-01-03,Federal_B_Area,0.4039149425287356,1.365180864308701,1,0.4999999999999999,3,0.8660254037844387,0,59.04999923706055,96.9782
2019-01-04,Federal_B_Area,0.285,2.2332580604431658,1,0.4999999999999999,4,0.8660254037844387,0,59.04999923706055,71.0507
2019-01-05,Federal_B_Area,0.8222307360742707,2.547042801521424,1,0.4999999999999999,5,0.8660254037844387,1,59.04999923706055,92.753
2019-01-06,Federal_B_Area,0.4379459770114942,4.413622940017312,1,0.4999999999999999,6,0.8660254037844387,1,59.04999923706055,113.2607
2019-01-07,Federal_B_Area,0.4019381056307289,3.948629736245814,1,0.4999999999999999,0,0.8660254037844387,0,59.04999923706055,101.651
2019-01-08,Federal_B_Area,0.4917349999999999,1.564658820016157,1,0.4999999999999999,1,0.8660254037844387,0,59.04999923706055,97.6206
2019-01-09,Federal_B_Area,0.4681896551724138,1.1719065156434036,1,0.4999999999999999,2,0.8660254037844387,0,59.04999923706055,104.2372
2019-01-10,Federal_B_Area,0.3917388059701493,3.686818189128496,1,0.4999999999999999,3,0.8660254037844387,0,59.04999923706055,57.2878
2019-01-11,Federal_B_Area,0.2191312461541337,2.755030749247436,1,0.4999999999999999,4,0.8660254037844387,0,59.04999923706055,51.4552
2019-01-12,Federal_B_Area,1.0460979787234042,2.452731116165247,1,0.4999999999999999,5,0.8660254037844387,1,59.04999923706055,133.5387
2019-01-13,Federal_B_Area,0.3646032608695652,5.256322189846201,1,0.4999999999999999,6,0.8660254037844387,1,59.04999923706055,106.3963
2019-01-14,Federal_B_Area,0.3951103448275862,5.915927633262745,1,0.4999999999999999,0,0.8660254037844387,0,59.04999923706055,115.6435
2019-01-15,Federal_B_Area,0.3339551724137931,1.317287811367297,1,0.4999999999999999,1,0.8660254037844387,0,59.04999923706055,88.5653
2019-01-16,Federal_B_Area,0.2051999999999999,2.470632247256513,1,0.4999999999999999,2,0.8660254037844387,0,59.04999923706055,44.7297
