horizon,RMSE,MAE,R2,MAPE
1,38.22294808103408,25.62949555930445,-0.05433459772281002,38.605578012043274
2,38.72254780284065,25.991725237894865,-0.05771149590710367,38.80089672765298
3,39.08660192257377,26.30594664266554,-0.06365483989141096,38.73380752784455
4,39.75983787362499,26.901281027066506,-0.07113612484566945,39.08409633100746
5,40.67180832234297,27.4849915261996,-0.08249386596011621,39.016128272885645
6,41.03545154865356,27.76224741369991,-0.09223687282380344,38.76918496580993
7,41.57057668186579,28.316634181394416,-0.10057123475300545,39.152097558030476
