date,station,Optical_Depth_055,month_cos,month,wind_speed,month_sin,day_of_week,pm25
2019-01-01,Federal_B_Area,0.3793103448275862,0.8660254037844387,1,2.26439744906341,0.4999999999999999,1,118.22864660069357
2019-01-02,Federal_B_Area,0.2157776611694152,0.8660254037844387,1,2.226080820439316,0.4999999999999999,2,109.81985273868032
2019-01-03,Federal_B_Area,0.4039149425287356,0.8660254037844387,1,1.365180864308701,0.4999999999999999,3,125.84890249425668
2019-01-04,Federal_B_Area,0.285,0.8660254037844387,1,2.2332580604431658,0.4999999999999999,4,116.11752322942527
2019-01-05,Federal_B_Area,0.8222307360742707,0.8660254037844387,1,2.547042801521424,0.4999999999999999,5,154.7506676923999
2019-01-06,Federal_B_Area,0.4379459770114942,0.8660254037844387,1,4.413622940017312,0.4999999999999999,6,123.13489684753324
2019-01-07,Federal_B_Area,0.4019381056307289,0.8660254037844387,1,3.948629736245814,0.4999999999999999,0,123.07465696037704
2019-01-08,Federal_B_Area,0.4917349999999999,0.8660254037844387,1,1.564658820016157,0.4999999999999999,1,126.90862968107837
2019-01-09,Federal_B_Area,0.4681896551724138,0.8660254037844387,1,1.1719065156434036,0.4999999999999999,2,130.46197944798377
2019-01-10,Federal_B_Area,0.3917388059701493,0.8660254037844387,1,3.686818189128496,0.4999999999999999,3,140.736857927814
2019-01-12,Federal_B_Area,1.0460979787234042,0.8660254037844387,1,2.452731116165247,0.4999999999999999,5,176.12394134610173
2019-01-13,Federal_B_Area,0.3646032608695652,0.8660254037844387,1,5.256322189846201,0.4999999999999999,6,126.278441461413
2019-01-14,Federal_B_Area,0.3951103448275862,0.8660254037844387,1,5.915927633262745,0.4999999999999999,0,109.62504990139796
2019-01-15,Federal_B_Area,0.3339551724137931,0.8660254037844387,1,1.317287811367297,0.4999999999999999,1,126.01952110552926
2019-01-16,Federal_B_Area,0.2051999999999999,0.8660254037844387,1,2.470632247256513,0.4999999999999999,2,123.19061183825478
2019-01-17,Federal_B_Area,0.495451724137931,0.8660254037844387,1,4.812104270568384,0.4999999999999999,3,131.22118635409967
2019-01-18,Federal_B_Area,0.2865380434782608,0.8660254037844387,1,1.9162398724954,0.4999999999999999,4,114.68650736994655
2019-01-19,Federal_B_Area,0.6154177986764194,0.8660254037844387,1,0.9396957682731398,0.4999999999999999,5,142.63176887863622
2019-01-20,Federal_B_Area,0.3903723404255318,0.8660254037844387,1,1.844874461089809,0.4999999999999999,6,125.18750504364266
2019-01-21,Federal_B_Area,0.795578947368421,0.8660254037844387,1,1.522230146955117,0.4999999999999999,0,161.90822769248385
2019-01-22,Federal_B_Area,0.1579162748171368,0.8660254037844387,1,2.8072793079410663,0.4999999999999999,1,101.4780628331102
2019-01-23,Federal_B_Area,0.1745597826086956,0.8660254037844387,1,3.0154621297111266,0.4999999999999999,2,104.87188729619515
2019-01-24,Federal_B_Area,0.3223758620689655,0.8660254037844387,1,3.668032147079491,0.4999999999999999,3,123.7524330432541
2019-01-25,Federal_B_Area,0.4050622536945812,0.8660254037844387,1,1.135285780246558,0.4999999999999999,4,131.3384226109729
