date,station,aer_ai,wind_speed,rh,temperature_2m,Optical_Depth_047,Optical_Depth_055,viirs_ntl,month,month_sin,month_cos,day_of_week,dow_sin,dow_cos,is_holiday,is_weekend
2019-01-01,Federal_B_Area,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,59.04999923706055,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,Gulistan_Jauhar,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,29.18000030517578,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,Gulshan-e-Iqbal,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,73.30999755859375,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,Korangi_Industrial,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,58.869998931884766,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,Landhi,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,42.68999862670898,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,North_Nazimabad,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,16.399999618530273,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,SITE_Industrial,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,39.040000915527344,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-01,Saddar,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,96.0999984741211,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0
2019-01-02,Federal_B_Area,,2.226080820439316,54.36574080444883,294.63368782299807,0.2751636806596701,0.2157776611694152,59.04999923706055,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0
2019-01-02,Gulistan_Jauhar,,2.226080820439316,54.36574080444883,294.63368782299807,0.2751636806596701,0.2157776611694152,29.18000030517578,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0
2019-01-02,Gulshan-e-Iqbal,,2.226080820439316,54.36574080444883,294.63368782299807,0.2751636806596701,0.2157776611694152,73.30999755859375,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0
2019-01-02,Korangi_Industrial,,2.226080820439316,54.36574080444883,294.63368782299807,0.2751636806596701,0.2157776611694152,58.869998931884766,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0
