date,station,aer_ai,no2,so2,co,wind_speed,rh,temperature_2m,Optical_Depth_047,Optical_Depth_055,viirs_ntl,month,month_sin,month_cos,day_of_week,dow_sin,dow_cos,is_holiday,is_weekend,pm25
2019-01-01,Federal_B_Area,,,,,2.26439744906341,61.90975989740024,292.9784359402126,0.4795379310344828,0.3793103448275862,55.619998931884766,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0,118.22864660069357
2019-01-02,Federal_B_Area,,,,,2.226080820439316,54.36574080444883,294.63368782299807,0.2751636806596701,0.2157776611694152,55.619998931884766,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0,109.81985273868031
2019-01-03,Federal_B_Area,,,,,1.365180864308701,48.10614791455445,294.0759068744334,0.506177011494253,0.4039149425287356,55.619998931884766,1,0.4999999999999999,0.8660254037844387,3,0.4338837391175582,-0.900968867902419,0,0,125.84890249425668
2019-01-04,Federal_B_Area,,,,,2.2332580604431658,64.9388365396686,293.957647929532,0.379,0.285,55.619998931884766,1,0.4999999999999999,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,0,0,116.11752322942529
2019-01-05,Federal_B_Area,,,,,2.547042801521424,51.92126806334422,294.5237980864804,1.013169728116711,0.8222307360742707,55.619998931884766,1,0.4999999999999999,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,0,1,154.7506676923999
2019-01-06,Federal_B_Area,,,,,4.413622940017312,52.1873739560999,291.3666577246317,0.5253693312434692,0.4379459770114942,55.619998931884766,1,0.4999999999999999,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,0,1,123.13489684753324
2019-01-07,Federal_B_Area,,,,,3.948629736245814,43.71852805411545,290.78479037479656,0.5142928852029682,0.4019381056307289,55.619998931884766,1,0.4999999999999999,0.8660254037844387,0,0.0,1.0,0,0,123.07465696037704
2019-01-08,Federal_B_Area,,,,,1.564658820016157,50.14489743826606,291.2994333458747,0.597645,0.4917349999999999,55.619998931884766,1,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,0,0,126.90862968107837
2019-01-09,Federal_B_Area,,,,,1.1719065156434036,58.99972295508584,292.27714470917573,0.5924689655172415,0.4681896551724138,55.619998931884766,1,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,0,0,130.46197944798377
2019-01-10,Federal_B_Area,,,,,3.686818189128496,80.97749089118912,293.96381809384627,0.5100298507462687,0.3917388059701493,55.619998931884766,1,0.4999999999999999,0.8660254037844387,3,0.4338837391175582,-0.900968867902419,0,0,140.736857927814
2019-01-11,Federal_B_Area,,,,,2.755030749247436,64.78939107375639,294.8313686965121,,,55.619998931884766,1,0.4999999999999999,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,0,0,94.58819746385207
2019-01-12,Federal_B_Area,,,,,2.452731116165247,56.28268713692809,294.01349193752145,1.2729417021276594,1.0460979787234042,55.619998931884766,1,0.4999999999999999,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,0,1,176.12394134610173
